method,prompt_type,prompt_id,reuse_interval,round,staleness_rounds,draft_tokens,accepted_len,retrieval_update,selected_count,oracle_overlap,pipeline_hit,pipeline_reuse,pipeline_wait_ms
reuse_R4,pg19,1,4,23,3,32,0,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,24,0,32,1,1,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,25,1,32,1,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,26,2,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,27,3,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,28,0,32,2,1,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,29,1,32,0,0,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,30,2,32,4,0,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,31,3,32,3,0,16,0.6,0,0,0.0
reuse_R4,pg19,1,4,32,0,32,3,1,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,33,1,32,4,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,34,2,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,35,3,32,1,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,36,0,32,0,1,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,37,1,32,0,0,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,38,2,32,0,0,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,39,3,32,1,0,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,40,0,32,4,1,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,41,1,32,2,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,42,2,32,1,0,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,43,3,32,4,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,44,0,32,0,1,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,45,1,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,46,2,32,2,0,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,47,3,32,1,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,48,0,32,4,1,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,49,1,32,2,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,50,2,32,1,0,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,51,3,32,2,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,52,0,32,3,1,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,53,1,32,1,0,16,0.6842105263157895,0,0,0.0
reuse_R4,pg19,1,4,54,2,32,1,0,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,55,3,32,0,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,56,0,32,1,1,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,57,1,32,0,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,58,2,32,0,0,16,1.0,0,0,0.0
reuse_R4,pg19,1,4,59,3,32,1,0,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,60,0,32,1,1,16,0.7777777777777778,0,0,0.0
reuse_R4,pg19,1,4,61,1,32,1,0,16,0.8823529411764706,0,0,0.0
reuse_R4,pg19,1,4,62,2,32,1,0,16,0.7777777777777778,0,0,0.0
