network,method,method_family,prompt_type,prompt_id,detail_index,tokens,total_ms,overhead_ms,server_ms,http_ms,ul_ms,dl_ms,round_id,K,drafted,accepted,draft_time_ms,server_time_ms,rtt_ms,correction,verify_prefix_len,verify_draft_len,verify_input_len,slot_id,draft_ms,verify_ms,tree_branch_width,selected_offset,stale_branches,base_accepted,base_draft_ms,branch_draft_ms,streamed_branch_tokens,exposed_branch_ms,active_spec_branches,base_wait_ms,total_wait_ms,prefetched_tokens
good,tree_k8_b3,tree_async,gsm8k,2,16,,,,,,,,,,24.0,8.0,,,104.8613556666716,,186.0,8.0,194.0,1601.0,97.5206459996798,77.64649391174316,3.0,8.0,2.0,8.0,34.12330099990868,63.39734499977112,16.0,0.0,2.0,104.57344799999646,104.57398899995951,7.0
good,tree_k8_b3,tree_async,gsm8k,2,17,,,,,,,,,,24.0,8.0,,,107.15618066671863,,195.0,8.0,203.0,1700.0,102.8853180000624,79.97536659240723,3.0,0.0,2.0,8.0,7.308704000024591,95.57661400003781,16.0,0.0,2.0,106.76658099998804,106.76839400002791,0.0
good,tree_k8_b3,tree_async,gsm8k,2,18,,,,,,,,,,22.0,8.0,,,110.6087423333164,,204.0,8.0,212.0,1801.0,133.32742099998995,83.36687088012695,3.0,8.0,2.0,8.0,33.92858899997009,99.39883200001987,14.0,0.0,2.0,110.0967900000569,110.09775200000149,6.0
good,tree_k8_b3,tree_async,gsm8k,2,19,,,,,,,,,,24.0,8.0,,,110.84572133331652,,213.0,8.0,221.0,1901.0,90.164599000218,83.49394798278809,3.0,8.0,2.0,8.0,12.192660000096112,77.97193900012189,16.0,0.0,2.0,110.60361800002738,110.60542099994564,7.0
good,direct,direct,gsm8k,3,0,128.0,2890.8223473334037,25.130733333333332,2863.0666732788086,2865.6916140000703,12.596,12.534733333333334,,,,,,,,,,,,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,0,,,,,,,,0.0,8.0,8.0,7.0,39.52932357788086,41.11456871032715,68.07116033340367,74194.0,77.0,8.0,85.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,1,,,,,,,,1.0,8.0,8.0,8.0,38.00320625305176,40.97294807434082,67.6754183333894,220.0,85.0,8.0,93.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,2,,,,,,,,2.0,8.0,8.0,8.0,36.534786224365234,45.023202896118164,71.92052099996819,3880.0,94.0,8.0,102.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,3,,,,,,,,3.0,8.0,8.0,8.0,35.485029220581055,48.59471321105957,75.81052100002044,582.0,103.0,8.0,111.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,4,,,,,,,,4.0,8.0,8.0,7.0,36.734819412231445,50.469398498535156,77.30329599998254,3070.0,112.0,8.0,120.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,5,,,,,,,,5.0,8.0,8.0,8.0,35.607337951660156,51.46431922912598,78.45678900000485,17.0,120.0,8.0,128.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,6,,,,,,,,6.0,8.0,8.0,8.0,35.03894805908203,55.78947067260742,82.21695633331413,1697.0,129.0,8.0,137.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,7,,,,,,,,7.0,8.0,8.0,8.0,34.535884857177734,61.46550178527832,88.4599179999826,20.0,138.0,8.0,146.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,8,,,,,,,,8.0,8.0,8.0,2.0,35.38870811462402,62.97659873962402,90.30498433330945,74194.0,147.0,8.0,155.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,9,,,,,,,,9.0,8.0,8.0,4.0,36.890506744384766,63.858747482299805,90.9228749999911,16.0,150.0,8.0,158.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,10,,,,,,,,10.0,8.0,8.0,7.0,37.732839584350586,67.66152381896973,94.93453699995783,279.0,155.0,8.0,163.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,11,,,,,,,,11.0,8.0,8.0,3.0,37.67800331115723,67.74544715881348,94.79570333332342,3593.0,163.0,8.0,171.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,12,,,,,,,,12.0,8.0,8.0,8.0,35.9039306640625,68.25757026672363,95.09908733335617,26376.0,167.0,8.0,175.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,13,,,,,,,,13.0,8.0,8.0,8.0,35.81118583679199,72.72696495056152,99.73933633338407,1124.0,176.0,8.0,184.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,14,,,,,,,,14.0,8.0,8.0,8.0,38.064002990722656,77.72207260131836,104.69738733336507,1124.0,185.0,8.0,193.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,15,,,,,,,,15.0,8.0,8.0,8.0,37.15825080871582,79.76984977722168,106.68954599995028,16.0,194.0,8.0,202.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,3,16,,,,,,,,16.0,8.0,8.0,8.0,37.351369857788086,83.00900459289551,109.61939333335098,256.0,203.0,8.0,211.0,,,,,,,,,,,,,,,
good,tree_k8_b3,tree_async,gsm8k,3,0,,,,,,,,,,16.0,7.0,,,71.20225433325845,,77.0,8.0,85.0,0.0,97.47561699998641,43.03407669067383,3.0,0.0,2.0,7.0,38.78452499998275,58.691092000003664,8.0,0.9218199999168064,2.0,70.16255200005617,70.16347300009329,0.0
good,tree_k8_b3,tree_async,gsm8k,3,1,,,,,,,,,,18.0,8.0,,,69.43484033335311,,85.0,8.0,93.0,101.0,100.68012899989753,42.21153259277344,3.0,8.0,2.0,8.0,37.483080000015434,63.1970489998821,10.0,0.0,2.0,68.93109399993591,68.93203599997832,4.0
good,tree_k8_b3,tree_async,gsm8k,3,2,,,,,,,,,,24.0,8.0,,,71.97900999999366,,94.0,8.0,102.0,201.0,97.16252300006545,45.25327682495117,3.0,8.0,2.0,8.0,25.279284000021107,71.88323900004434,16.0,0.0,2.0,71.82193900007405,71.82375200000024,7.0
good,tree_k8_b3,tree_async,gsm8k,3,3,,,,,,,,,,24.0,8.0,,,74.05307900003582,,103.0,8.0,111.0,301.0,80.1542970001492,47.47366905212402,3.0,8.0,2.0,8.0,7.477278999999726,72.67701800014947,16.0,0.0,2.0,73.66274299999986,73.66363500000261,7.0
good,tree_k8_b3,tree_async,gsm8k,3,4,,,,,,,,,,16.0,7.0,,,79.64394233339641,,112.0,8.0,120.0,400.0,72.22238400015613,52.79684066772461,3.0,0.0,2.0,7.0,9.39259699998729,62.829787000168835,8.0,0.7110549998969873,2.0,79.59656099990298,79.59789399990314,0.0
