network,method,prompt_type,prompt_id,verify_input_len,verify_ms,rtt_ms
good,sync_k8,gsm8k,5,167.0,70.39666175842285,98.02560566656284
good,sync_k8,gsm8k,5,176.0,70.50323486328125,98.00563733329693
good,sync_k8,gsm8k,5,185.0,74.55325126647949,102.03029866665341
good,sync_k8,gsm8k,5,194.0,78.02462577819824,105.1250593332536
good,tree_k8_b3,gsm8k,5,70.0,,66.08991333328616
good,tree_k8_b3,gsm8k,5,79.0,,65.16502699996005
good,tree_k8_b3,gsm8k,5,84.0,,70.43289866659498
good,tree_k8_b3,gsm8k,5,93.0,,69.96149499994188
good,tree_k8_b3,gsm8k,5,95.0,,72.21731366674743
good,tree_k8_b3,gsm8k,5,97.0,,75.57215833334547
good,tree_k8_b3,gsm8k,5,102.0,,74.7731236666276
good,tree_k8_b3,gsm8k,5,104.0,,73.8229783333499
good,tree_k8_b3,gsm8k,5,109.0,,73.42854833329412
good,tree_k8_b3,gsm8k,5,113.0,,77.14502533329728
good,tree_k8_b3,gsm8k,5,114.0,,77.72973533343551
good,tree_k8_b3,gsm8k,5,116.0,,78.34744300000357
good,tree_k8_b3,gsm8k,5,118.0,,79.23742166672565
good,tree_k8_b3,gsm8k,5,121.0,,79.38570933328516
good,tree_k8_b3,gsm8k,5,130.0,,82.68291666666079
good,tree_k8_b3,gsm8k,5,131.0,,83.53175266675387
good,tree_k8_b3,gsm8k,5,133.0,,82.17410000005468
good,tree_k8_b3,gsm8k,5,142.0,,85.36575266671133
good,tree_k8_b3,gsm8k,5,147.0,,88.45363666670818
good,tree_k8_b3,gsm8k,5,149.0,,88.1997366667305
good,tree_k8_b3,gsm8k,5,158.0,,89.42279066664999
good,tree_k8_b3,gsm8k,5,167.0,,94.82778766668689
good,tree_k8_b3,gsm8k,5,176.0,,95.4783793333105
good,tree_k8_b3,gsm8k,5,185.0,,100.04556466669194
good,tree_k8_b3,gsm8k,5,194.0,,105.11891466663116
good,sync_k8,gsm8k,6,73.0,36.59224510192871,63.46628033333532
good,sync_k8,gsm8k,6,82.0,39.483070373535156,65.88192066670108
good,sync_k8,gsm8k,6,85.0,39.786577224731445,66.14205766663358
good,sync_k8,gsm8k,6,91.0,41.28575325012207,68.85045933337861
good,sync_k8,gsm8k,6,97.0,44.87466812133789,72.06656233333489
good,sync_k8,gsm8k,6,98.0,44.497013092041016,71.47983666670662
good,sync_k8,gsm8k,6,107.0,47.02043533325195,73.56788033342482
good,sync_k8,gsm8k,6,108.0,47.78909683227539,74.50608066666352
good,sync_k8,gsm8k,6,117.0,50.87423324584961,78.13976733341255
good,sync_k8,gsm8k,6,126.0,51.22518539428711,78.33713966670966
good,sync_k8,gsm8k,6,131.0,54.89802360534668,81.78745600010151
good,sync_k8,gsm8k,6,133.0,56.28490447998047,83.2686156666243
good,sync_k8,gsm8k,6,140.0,56.62178993225098,83.39171566673565
good,sync_k8,gsm8k,6,143.0,57.68465995788574,84.89211866670229
good,sync_k8,gsm8k,6,152.0,62.20841407775879,89.50290800000158
good,sync_k8,gsm8k,6,161.0,66.84541702270508,94.0529993333706
good,sync_k8,gsm8k,6,170.0,66.90168380737305,93.83697666667933
good,sync_k8,gsm8k,6,179.0,70.95146179199219,98.10223800004327
good,sync_k8,gsm8k,6,188.0,73.08006286621094,100.32860300003196
good,sync_k8,gsm8k,6,192.0,73.95267486572266,101.43146433333472
good,tree_k8_b3,gsm8k,6,73.0,,65.60525333333631
good,tree_k8_b3,gsm8k,6,82.0,,67.13424733341384
good,tree_k8_b3,gsm8k,6,85.0,,69.04727299999573
good,tree_k8_b3,gsm8k,6,91.0,,69.56973200003048
good,tree_k8_b3,gsm8k,6,97.0,,72.66747866669486
good,tree_k8_b3,gsm8k,6,98.0,,71.9449576666404
good,tree_k8_b3,gsm8k,6,107.0,,73.45195299997985
good,tree_k8_b3,gsm8k,6,108.0,,73.34872900002027
good,tree_k8_b3,gsm8k,6,117.0,,79.11612800007654
good,tree_k8_b3,gsm8k,6,126.0,,81.42571966664927
good,tree_k8_b3,gsm8k,6,131.0,,87.37905800008284
good,tree_k8_b3,gsm8k,6,133.0,,84.86720033332804
good,tree_k8_b3,gsm8k,6,140.0,,84.356968333319
good,tree_k8_b3,gsm8k,6,143.0,,84.02254633333939
good,tree_k8_b3,gsm8k,6,152.0,,87.64156466660779
good,tree_k8_b3,gsm8k,6,161.0,,92.5757856666443
good,tree_k8_b3,gsm8k,6,170.0,,96.19421733339942
good,tree_k8_b3,gsm8k,6,179.0,,98.25661200001936
good,tree_k8_b3,gsm8k,6,188.0,,99.95325200002955
good,tree_k8_b3,gsm8k,6,192.0,,106.39323066659287
good,sync_k8,gsm8k,7,66.0,35.912513732910156,62.88301533337807
good,sync_k8,gsm8k,7,74.0,35.36415100097656,61.60052400002544
good,sync_k8,gsm8k,7,83.0,44.23379898071289,70.38405099998347
good,sync_k8,gsm8k,7,91.0,40.90690612792969,67.60811899993439
good,sync_k8,gsm8k,7,99.0,44.94810104370117,71.65210933335155
good,sync_k8,gsm8k,7,108.0,49.248695373535156,76.32306766673472
good,sync_k8,gsm8k,7,111.0,48.20752143859863,75.42705333330207
good,sync_k8,gsm8k,7,120.0,50.64845085144043,77.9343693334143
good,sync_k8,gsm8k,7,129.0,54.16464805603027,80.8215956666247
